year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,tags,city,state,list_price,price_per_sqft,age_of_house,filtered_tags,sold_year,year_built_scaled,sold_price_scaled,baths_full_scaled,lot_sqft_scaled,sqft_scaled,baths_scaled,stories_scaled,beds_scaled,list_price_scaled,price_per_sqft_scaled,age_of_house_scaled
2000.0,2024-01-12,370000.0,,3397680.0,1635.0,0.0,0.0,,,land,"['horse_facilities', 'rental_property', 'big_lot', 'pond']",Montgomery,Alabama,395000.0,226.29969418960243,24.0,"['rental_property', 'big_lot', 'pond']",2024.0,0.4894294097810224,0.32009941078040555,1.594058201005347,-0.027819843891096933,1.9746690754516834,1.8719740635512985,0.6051788925132615,0.7048341245417549,0.3873518012912795,-0.6515754417363865,-0.489429409781022
1969.0,2024-01-12,140000.0,2.0,14375.0,1576.0,2.0,0.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'swimming_pool', 'corner_lot']",Montgomery,Alabama,140000.0,88.83248730964468,55.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'swimming_pool', 'corner_lot']",2024.0,0.2338279772067943,-0.9700388183094782,0.25835106014948794,-0.028686961251956865,-0.32909797440526495,-0.04037174484389854,-0.7956481421658727,0.7048341245417549,-0.9747195167260341,-0.8460082267829833,-0.23382797720679388
1954.0,2024-01-12,149900.0,1.0,13504.0,1736.0,1.0,0.0,1.0,3.0,single_family,"['carport', 'central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'fenced_yard', 'shopping']",Montgomery,Alabama,149900.0,86.34792626728111,70.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'fenced_yard', 'shopping']",2024.0,0.14862749968205158,-1.1011054927457822,0.25835106014948794,-0.030890459486612693,0.6243626614415705,-0.04037174484389854,-0.7956481421658727,-0.1256781435304234,-1.100360213370626,-1.1881608769242678,-0.1486274996820512
1966.0,2024-01-12,45000.0,1.0,4356.0,1434.0,1.0,0.0,1.0,2.0,single_family,"['city_view', 'hardwood_floors', 'single_story', 'fenced_yard', 'rental_property', 'fixer_upper']",Montgomery,Alabama,50000.0,31.380753138075313,58.0,"['city_view', 'hardwood_floors', 'single_story', 'fenced_yard', 'rental_property', 'fixer_upper']",2024.0,-0.4477758429911473,-0.9681070323850556,1.594058201005347,-0.029120395525304932,0.5857088518802123,0.9158011593537,-0.7956481421658727,-0.1256781435304234,-0.8690551651546409,-1.08917322846296,0.44777584299114775
2006.0,2024-01-11,310000.0,2.0,13068.0,2134.0,2.0,2.0,1.0,4.0,single_family,"['central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'master_bedroom', 'floor_plan', 'ensuite']",Montgomery,Alabama,320000.0,145.26710402999063,18.0,"['central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'master_bedroom', 'floor_plan', 'ensuite']",2024.0,1.0858327524542213,-0.7958096245808974,0.25835106014948794,-0.03388941660295266,-0.6525015144019618,-0.04037174484389854,-0.7956481421658727,-0.9561904116026017,-0.7902064283775598,-0.4767888114445137,-1.0858327524542208
1986.0,2024-01-10,147000.0,2.0,6970.0,1650.0,2.0,0.0,1.0,3.0,single_family,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'updated_kitchen', 'master_suite', 'shopping']",Montgomery,Alabama,145000.0,89.0909090909091,38.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'updated_kitchen', 'master_suite', 'shopping']",2024.0,-0.021773455367433817,-0.5747333062546015,0.25835106014948794,-0.030854630247024794,0.18628615307951094,-0.04037174484389854,-0.7956481421658727,0.7048341245417549,-0.5799238548846591,-0.6836838400891191,0.02177345536743422
1968.0,2024-01-10,195000.0,2.0,16553.0,2264.0,2.0,2.0,1.0,5.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'big_lot']",Montgomery,Alabama,215000.0,86.13074204946996,56.0,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'big_lot']",2024.0,-0.4477758429911473,-0.8589742869598391,0.25835106014948794,-0.03323901637876676,-0.6125592445218917,-0.04037174484389854,-0.7956481421658727,-0.1256781435304234,-0.8695808584460408,-0.5806696675160733,0.44777584299114775
1968.0,2024-01-09,136000.0,2.0,16988.0,1752.0,2.0,2.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",Montgomery,Alabama,136000.0,77.62557077625571,56.0,"['central_air', 'central_heat', 'city_view', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",2024.0,1.398234503378278,0.18587450322515447,0.25835106014948794,-0.030963113222443713,0.4182090104476601,-0.04037174484389854,-0.7956481421658727,0.7048341245417549,0.17970295118829266,-0.19667020738848556,-1.3982345033782775
1958.0,2024-01-09,31500.0,1.0,11326.0,961.0,1.0,0.0,1.0,3.0,single_family,"['carport', 'city_view', 'dishwasher', 'single_story', 'rental_property', 'medicalcare', 'shopping']",Montgomery,Alabama,31500.0,32.778355879292405,66.0,"['carport', 'city_view', 'dishwasher', 'single_story', 'rental_property', 'medicalcare', 'shopping']",2024.0,0.801831160705079,-0.6273705249037196,0.25835106014948794,-0.032480381993325744,0.09609393076967516,-0.04037174484389854,-0.7956481421658727,-0.1256781435304234,-0.4485005320346675,-0.6929545838731266,-0.8018311607050785
1967.0,2024-01-08,178000.0,2.0,12632.0,1892.0,2.0,0.0,1.0,4.0,single_family,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'big_yard']",Montgomery,Alabama,184900.0,94.08033826638477,57.0,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'big_yard']",2024.0,-0.3625753654664046,-0.8537105650949273,0.25835106014948794,-0.03226366485665171,-0.3986748316157097,-0.04037174484389854,-0.7956481421658727,-0.1256781435304234,-0.8427705005846425,-0.6928620663396973,0.362575365466405
