year_built,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,price_per_sqft,age_of_house,sold_year,year_built_scaled,sold_price_scaled,baths_full_scaled,lot_sqft_scaled,sqft_scaled,baths_scaled,stories_scaled,beds_scaled,list_price_scaled,price_per_sqft_scaled,age_of_house_scaled
1958.0,65000.0,1.0,,654.0,1.0,1.0,3.0,2.0,99.38837920489296,66.0,2023.0,-1.612182369162631,-0.6536891342282787,,-0.0346480509883936,-0.4038286728905574,,,0.7048341245417549,-0.3959312028946708,-0.4752754560062514,1.6121823691626314
2000.0,748900.0,,,1635.0,0.0,0.0,,,458.0428134556575,24.0,2023.0,,,,,,,,,,,
1990.0,313000.0,2.0,5101.0,1044.0,2.0,2.0,1.0,2.0,299.808429118774,34.0,2024.0,0.1202273405071373,-1.090578049015959,-1.0773560807063711,-0.0340411932428736,-0.9166358797379096,-0.9965446490414972,-0.7956481421658727,-0.1256781435304234,-1.0272888458660308,-0.6925701575704287,-0.1202273405071369
1950.0,111200.0,2.0,8276.0,1178.0,2.0,0.0,1.0,3.0,94.39728353140916,74.0,2024.0,-0.8737782306148608,1.0833390811926176,0.2583510601494879,-0.0332390163787667,0.7016702805642868,-0.0403717448438985,0.6051788925132615,0.7048341245417549,1.076010013025236,0.2733661132874291,0.8737782306148613
1910.0,770000.0,1.0,,790.0,1.0,0.0,1.0,1.0,974.6835443037976,114.0,2024.0,,,,,,,,,,,
1913.0,200000.0,,2178.0,1330.0,,0.0,,4.0,150.37593984962405,111.0,2024.0,,,,,,,,,,,
,,,,,,,,,,,,-0.0217734553674338,-0.5220960876054834,0.2583510601494879,-0.0330222992420927,-0.071405910662877,-0.0403717448438985,-0.7956481421658727,0.7048341245417549,-0.503698327631664,-0.5270407142911326,0.0217734553674342
,,,,,,,,,,,,-1.6973828466873735,-1.0853143271510468,0.2583510601494879,-0.0348647681250677,-0.2517903552825485,-0.0403717448438985,,1.535346392613933,-1.0530478171446291,-0.9898440603212468,1.6973828466873742
2000.0,130000.0,,10925.0,1635.0,0.0,0.0,,,79.51070336391437,24.0,2023.0,,,,,,,,,,,
1996.0,705000.0,2.0,10454.0,2174.0,2.0,3.0,1.0,3.0,324.28702851885924,28.0,2024.0,,,,,,,,,,,
1900.0,71500.0,1.0,871.0,1528.0,1.0,0.0,3.0,4.0,46.79319371727749,124.0,2024.0,,,,,,,,,,,
2000.0,120000.0,,11761.0,1635.0,0.0,0.0,,,73.39449541284404,24.0,2024.0,,,,,,,,,,,
,,,,,,,,,,,,1.3130340258535351,-0.2983879083467317,0.2583510601494879,-0.0336736947229338,-0.0340405614202307,-0.0403717448438985,-0.7956481421658727,-0.1256781435304234,-0.2702905062500788,-0.3445634111526593,-1.313034025853535
1936.0,345000.0,1.0,1056.0,590.0,1.0,0.0,1.0,1.0,584.7457627118644,88.0,2023.0,0.8586314790549074,0.1358691455084923,,-0.0199078022962662,-0.1551558313791531,-1.952717553239096,,,0.2291181205798895,0.1397974320938788,-0.858631479054907
1981.0,115000.0,1.0,,800.0,2.0,0.0,3.0,2.0,143.75,43.0,2023.0,-0.1069739328921765,0.1358691455084923,-1.0773560807063711,-0.0333474993541856,-0.7156360700188469,-0.0403717448438985,-0.7956481421658727,-0.1256781435304234,0.0771927593652991,0.773055121465006,0.1069739328921769
1952.0,450000.0,1.0,7360.0,892.0,1.0,1.0,1.0,2.0,504.4843049327354,72.0,2024.0,0.8586314790549074,-0.8800291744194864,,-0.024351623261821,-0.1551558313791531,-1.952717553239096,,,-0.7166041106486505,-0.8235029347918549,-0.858631479054907
2020.0,335000.0,2.0,4792.0,1568.0,3.0,0.0,2.0,3.0,213.64795918367344,4.0,2024.0,,,,,,,,,,,
1961.0,452500.0,2.0,19115.0,1713.0,2.0,0.0,2.0,3.0,264.1564506713368,63.0,2024.0,,,,,,,,,,,
,,,,,,,,,,,,-0.5613764796908043,0.8464715972715862,,,-0.1551558313791531,-1.952717553239096,,,0.8920173610352475,0.813608569552812,0.5613764796908046
,,,,,,,,,,,,-1.6973828466873735,0.8464715972715862,-1.0773560807063711,-0.0343191186638436,-0.9436935464308602,-0.9965446490414972,-0.7956481421658727,-1.7867026796747798,0.8079064344112529,2.261786563257316,1.6973828466873742
1977.0,315000.0,3.0,18731.0,3204.0,3.0,0.0,2.0,4.0,98.31460674157304,47.0,2024.0,,,,,,,,,,,
1936.0,200000.0,2.0,9243.0,1513.0,2.0,0.0,1.0,3.0,132.18770654329148,88.0,2023.0,-0.5045761613409758,-0.4168216503072473,0.2583510601494879,-0.0320469477199776,0.6372472646286899,-0.0403717448438985,-0.7956481421658727,-0.1256781435304234,-0.4747851966046658,-0.7185214958445495,0.5045761613409762
1970.0,236000.0,2.0,22651.0,2590.0,2.0,0.0,1.0,3.0,91.11969111969113,54.0,2024.0,,,,,,,,,,,
,,,,,,,,,,,,0.6030300464806794,-0.4194535112397032,0.2583510601494879,-0.0348647681250677,-0.7491360383053574,-0.0403717448438985,-0.7956481421658727,-0.9561904116026017,-0.3985596693516706,0.092425732938499,-0.6030300464806789
,,,,,,,,,,,,0.8870316382298217,-0.1431081133318334,0.2583510601494879,-0.0334557335154407,-0.4437709427706276,-0.0403717448438985,-0.7956481421658727,-0.1256781435304234,-0.1330845571946875,0.1105966501964933,-0.8870316382298212
1955.0,326000.0,2.0,14375.0,1920.0,3.0,2.0,,4.0,169.79166666666666,69.0,2024.0,,,,,,,,,,,
1982.0,284900.0,2.0,3920.0,1792.0,3.0,0.0,2.0,3.0,158.984375,42.0,2024.0,,,,,,,,,,,
