year_built,sold_date,sold_price,baths_full,lot_sqft,sqft,baths,garage,stories,beds,type,tags,city,state,list_price,price_per_sqft,age_of_house
1962.0,2024-01-08,150000.0,2.0,67954.0,1833.0,2.0,2.0,1.0,3.0,single_family,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'new_roof', 'shopping']",Montgomery,Alabama,159000.0,81.83306055646482,62.0
1945.0,2024-01-08,170000.0,2.0,313632.0,3092.0,3.0,,1.0,3.0,single_family,"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'wooded_land', 'front_porch', 'large_porch', 'big_lot']",Montgomery,Alabama,180000.0,54.980595084087966,79.0
1957.0,2024-01-05,125000.0,1.0,12632.0,1380.0,1.0,,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story', 'big_lot']",Montgomery,Alabama,125000.0,90.57971014492753,67.0
1984.0,2024-01-05,162000.0,2.0,6098.0,1539.0,2.0,,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'ensuite']",Montgomery,Alabama,180000.0,105.26315789473684,40.0
1950.0,2024-01-05,111200.0,2.0,8276.0,1178.0,2.0,,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",Montgomery,Alabama,118900.0,94.39728353140917,74.0
1948.0,2024-01-05,63000.0,1.0,7405.0,1290.0,1.0,1.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'rental_property']",Montgomery,Alabama,65000.0,48.83720930232558,76.0
1964.0,2024-01-05,106000.0,2.0,16553.0,2349.0,2.0,,1.0,4.0,single_family,"['central_air', 'central_heat', 'city_view', 'single_story', 'rental_property']",Montgomery,Alabama,110000.0,45.12558535547041,60.0
2001.0,2024-01-05,245000.0,2.0,6534.0,1742.0,2.0,2.0,1.0,3.0,single_family,"['central_air', 'central_heat', 'city_view', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'open_floor_plan', 'floor_plan']",Montgomery,Alabama,249000.0,140.64293915040184,23.0
1989.0,2024-01-05,310000.0,3.0,22651.0,3137.0,3.0,,1.0,4.0,single_family,"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'golf_course_lot_or_frontage', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'big_lot']",Montgomery,Alabama,420000.0,98.8205291679949,35.0
1950.0,2024-01-05,100000.0,1.0,15682.0,1471.0,1.0,,1.0,3.0,single_family,"['carport', 'community_outdoor_space', 'basement', 'single_story']",Montgomery,Alabama,105000.0,67.98096532970769,74.0
1971.0,2024-01-05,95900.0,1.0,10664.0,1200.0,2.0,,1.0,3.0,single_family,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'master_bedroom', 'open_floor_plan', 'floor_plan']",Montgomery,Alabama,95500.0,79.91666666666667,53.0
